category,name
Chemistry,Otto Wallach
Physiology or Medicine,Otto Warburg
Physics,Owen Chamberlain
Physics,Owen Willans Richardson
Literature,Pablo Neruda
Literature,Pär Lagerkvist
Physics,Patrick M.S. Blackett
Literature,Patrick Modiano
Literature,Patrick White
Economic Sciences,Paul A. Samuelson
Physics,Paul A.M. Dirac
Chemistry,Paul Berg
Physiology or Medicine,Paul C. Lauterbur
Chemistry,Paul D. Boyer
Physiology or Medicine,Paul Ehrlich
Physiology or Medicine,Paul Greengard
Peace,Paul Henri d'Estournelles de Constant
Literature,Paul Heyse
Chemistry,Paul J. Crutzen
Chemistry,Paul J. Flory
Chemistry,Paul Karrer
Economic Sciences,Paul Krugman
Economic Sciences,Paul M. Romer
Chemistry,Paul Modrich
Physiology or Medicine,Paul Müller
Chemistry,Paul Sabatier
Physics,Pavel A. Cherenkov
Literature,Pearl Buck
Physics,Percy W. Bridgman
Peace,Permanent International Peace Bureau
Economic Sciences,Peter A. Diamond
Chemistry,Peter Agre
Physiology or Medicine,Peter C. Doherty
Chemistry,Peter Debye
Physics,Peter Grünberg
Literature,Peter Handke
Physics,Peter Higgs
Physiology or Medicine,Peter Medawar
Chemistry,Peter Mitchell
Physiology or Medicine,Peyton Rous
Peace,Philip Noel-Baker
Physiology or Medicine,Philip S. Hench
Physics,Philip W. Anderson
Physics,Philipp Lenard
Physiology or Medicine,Phillip A. Sharp
Physics,Pierre Curie
Physics,Pierre-Gilles de Gennes
Physics,Pieter Zeeman
Physics,Polykarp Kusch
Peace,Pugwash Conferences on Science and World Affairs
Physics,Pyotr Kapitsa
Literature,Rabindranath Tagore
Economic Sciences,Ragnar Frisch
Physiology or Medicine,Ragnar Granit
Physics,Rainer Weiss
Peace,Ralph Bunche
Physiology or Medicine,Ralph M. Steinman
Peace,Randal Cremer
Physiology or Medicine,Randy W. Schekman
Physics,Raymond Davis Jr.
Economic Sciences,Reinhard Selten
Physiology or Medicine,Renato Dulbecco
Peace,René Cassin
Physics,Riccardo Giacconi
Physiology or Medicine,Richard Axel
Chemistry,Richard E. Smalley
Physics,Richard E. Taylor
Chemistry,Richard F. Heck
Economic Sciences,Richard H. Thaler
Chemistry,Richard Henderson
Physiology or Medicine,Richard J. Roberts
Chemistry,Richard Kuhn
Chemistry,Richard L.M. Synge
Physics,Richard P. Feynman
Chemistry,Richard R. Ernst
Chemistry,Richard R. Schrock
Economic Sciences,Richard Stone
Chemistry,Richard Willstätter
Chemistry,Richard Zsigmondy
Peace,Rigoberta Menchú Tum
Physiology or Medicine,Rita Levi-Montalcini
Chemistry,Roald Hoffmann
Physics,Robert A. Millikan
Physics,Robert B. Laughlin
Chemistry,Robert B. Woodward
Physiology or Medicine,Robert Bárány
Economic Sciences,Robert C. Merton
Physics,Robert C. Richardson
Peace,"Robert Cecil, Viscount Cecil of Chelwood"
Economic Sciences,Robert E. Lucas Jr.
Chemistry,Robert F. Curl Jr.
Economic Sciences,Robert F. Engle III
Physiology or Medicine,Robert F. Furchgott
Physiology or Medicine,Robert G. Edwards
Chemistry,Robert H. Grubbs
Physics,Robert Hofstadter
Chemistry,Robert Huber
Economic Sciences,Robert J. Aumann
Chemistry,Robert J. Lefkowitz
